epoch,train loss,val loss,swa
0.0,9.683830543487304,9.432046072223248,n
19.0,3.254825452450783,4.529665180887932,y
39.0,2.972930364454946,4.716094331481518,y
59.0,2.8303972955672974,4.665966206254104,y
79.0,2.7515949466536123,4.652668840992145,y
