formula,predicted_Tc,efermi,band_gap,database_IDs
Li2Mn3Ni1O8,18.528079986572266,2.21629323,0.9363,icsd-187804
Sr3Tb2B4O12,18.52699851989746,6.36832144,4.525600000000001,pf-16723
Sr1Li1B9O15,17.880456924438477,-0.41263063,5.6482,icsd-93015
Ca1F2,17.780982971191406,-1.01894632,7.1157,icsd-41413
Li3V1O4,17.616403579711914,-0.67359684,3.6916,icsd-239303
Ca4Gd1B3O10,17.193687438964844,1.60973135,3.0999,icsd-86172
Cs1Be2B1O3F2,17.083498001098633,-0.71730473,5.8834,icsd-247622
Ca3In2Ge3O12,16.976152420043945,3.22949006,2.6718,pf-12286
Ba3In1B3O9,16.926462173461914,2.05940277,3.4937,icsd-181343
Sr3Li1Ru1O6,16.918275833129883,2.86924183,0.399,icsd-96220
Mn3Mo3C1,16.797168731689453,7.73910485,0.0,icsd-76132
Ca2Sn1O4,16.514026641845703,3.35927175,2.7198,icsd-9011
Li1Ca1B1O3,16.286840438842773,1.71678816,5.040100000000001,icsd-99386
Li1B6O9F1,16.212047576904297,-1.09514679,6.4556,icsd-420286
Ca1Mn1Ge2O6,16.17903709411621,2.68002381,1.6037000000000003,pf-1156
Li2Te1O4,15.86417007446289,2.15253876,2.2671,icsd-1485
Ca3Y2Ge3O12,15.847343444824219,1.50057409,3.2592,icsd-280048
Fe2Ni1O4,15.580802917480469,3.57517255,1.3615999999999997,icsd-182237
Ca3Fe2Ge3O12,15.567747116088867,2.16371016,2.4209000000000005,icsd-28176
Y1Ni2B2C1,15.370237350463867,6.59196594,0.0,icsd-79574
Ca3Cr2Ge3O12,15.251469612121582,2.45794828,2.9977000000000005,pf-24090
Ca1Cr2O4,15.068031311035156,5.42719393,0.0,icsd-8288
Fe2B2O5,14.91207504272461,2.3127903,3.2492,icsd-246811
Li5I1O6,14.887532234191895,4.81650942,2.5907,pf-35326
Ca2Ge1O4,14.719528198242188,0.85144141,3.6002,icsd-173459
Li2Cr1O4,14.680952072143555,-1.55661831,2.6021,icsd-1972
Li1,14.65577507019043,0.58312251,0.0,icsd-642105
Li2B3O4F3,14.545001983642578,-1.83500441,6.573499999999999,icsd-423661
Ba1B2O4,14.462152481079102,0.06293808,4.522399999999999,icsd-14376
Ba2Li1B5O10,14.385198593139648,0.9678418,4.951700000000001,icsd-71875
Li1V1O2,14.241104125976562,5.02913729,0.0,icsd-202540
Ca3Zn3Te2O12,14.22667407989502,2.4927827,2.1295999999999995,icsd-67045
Ca1B4,14.16185474395752,5.05290504,0.0,pf-40342
Cs2Ca1F4,13.922079086303711,-1.53099921,6.091,icsd-82616
Ca1Fe1Ge2O6,13.897241592407227,2.80648068,1.6032000000000002,icsd-290257
Li3Gd1B2O6,13.812742233276367,3.68852379,2.9198,icsd-94356
Ba7Ca2Mn5O20,13.8078031539917,2.372734,0.7955000000000001,icsd-59699
Sr2Ni1Mo1O6,13.76166820526123,3.43705053,2.0734000000000004,icsd-157021
Li1B6C1,13.652785301208496,4.52697635,1.3922,icsd-415556
Li3B1O3,13.56697940826416,0.24049652,5.1473,icsd-9105
Ca10Ge16B6O51,13.412126541137695,1.96985695,2.7264,icsd-261970
Li2Ni1Ge3O8,13.321951866149902,5.15184724,3.0431,icsd-86168
Li2Mo1O4,13.278543472290039,-1.32687895,3.8713,icsd-94489
Y1Mo1C2,13.238591194152832,6.52746923,0.0,icsd-618370
Li2C1O3,13.20870304107666,-0.1416317,5.0574,icsd-66942
Ba5Tm8Ni4O21,13.20510482788086,2.88709065,2.3991,pf-6824
Y2Fe1C4,13.140356063842773,5.03106683,0.0,icsd-617900
Sr2Ca1Mo1O6,13.041823387145996,1.94062282,2.6243,icsd-380254
Li1Nd6B3O14,13.033331871032715,6.17309751,4.4113,pf-3032
Ba3Ca1Ru2O9,12.965405464172363,3.37780867,0.0,icsd-9608
Ba1Li1B9O15,12.947366714477539,-0.40054561,5.7835,icsd-93013
Cu3C2O8,12.902836799621582,1.56866373,0.0,icsd-15919
Ba2Ca1Mo1O6,12.86319637298584,2.36964069,2.258,icsd-45317
Ca3Mn2Ge3O12,12.834856986999512,2.76708836,1.017,icsd-89835
Zr3Zn3C1,12.763358116149902,4.11547622,0.0,icsd-42934
Li1Nd6B3O13F2,12.75967025756836,6.04398683,4.4538,icsd-260791
Cs1Li1Mo1O4,12.713006019592285,-1.45920444,4.424,icsd-20805
Li2Mn1F5,12.679548263549805,-0.9442579,1.8414,icsd-202394
Li3B7O12,12.677846908569336,0.26899749,5.6047,icsd-68475
Ca2Tm1Ru1O6,12.659225463867188,3.46170664,0.286,pf-13405
Mn2B1O4,12.542994499206543,3.61528101,0.5381,icsd-252607
Pr2Mo1C2,12.488697052001953,5.50764881,0.0,icsd-413345
Ba2Ca1Te1O6,12.483899116516113,3.0895686,2.9976,icsd-246112
Li1In1Ge1O4,12.412153244018555,2.24399998,2.2778,icsd-62229
Cs1Li2Gd4B5O15,12.353752136230469,1.30401681,2.5666,icsd-240894
Li1Mn1V1O4,12.350626945495605,1.79498959,1.9637,icsd-281581
Y3C4,12.329305648803711,4.57013379,0.0,icsd-619109
Li1Ti2O4,12.113885879516602,5.06885246,0.0,icsd-81329
Sr2Ca1Te1O6,11.748625755310059,2.86756709,3.2142,icsd-414435
Y2B3C2,11.64963150024414,5.25910663,0.0,icsd-90269
Er2Fe1C4,11.648458480834961,4.94024147,0.0,icsd-42968
Sr2Ni1Ru1O6,11.54760456085205,3.62096713,0.0,icsd-181753
Tb2Fe1C4,11.308368682861328,4.96374693,0.0,icsd-617861
Sr1Li1B1O3,11.296557426452637,1.14911145,4.3476,icsd-92842
Li1Y1O2,11.283136367797852,0.85470884,4.0135,icsd-45511
Ca1Te1O4,11.245417594909668,2.51427046,2.2712,icsd-8097
Y4C5,11.184640884399414,4.28801012,0.0,icsd-84869
Ba5B4O11,11.17641830444336,1.70087068,3.7917,icsd-172399
Zn4B6O13,11.115013122558594,1.66805371,3.4134,icsd-15800
Ca1B2O4,11.025716781616211,1.29058836,6.020300000000001,icsd-20097
Bi4B2O9,10.945413589477539,4.02982584,2.8354,icsd-250425
Gd3C1I3,10.922621726989746,5.1373298,0.0610999999999997,icsd-73199
Li1Bi1O3,10.9063081741333,2.6220359,0.1445000000000003,icsd-82277
Li1Rh1O2,10.834983825683594,4.4847718,1.5153,icsd-29213
Ca3B2O6,10.80569839477539,2.06670923,4.8224,icsd-1894
Tm1Ni2B2C1,10.77851676940918,6.4878516,0.0,icsd-56652
B1,10.686223030090332,6.15041714,1.4333999999999998,icsd-108026
Ca1I2,10.68195915222168,0.03186155,3.8971,icsd-52280
Ba1Li1B1O3,10.593511581420898,1.34066471,4.1341,icsd-92843
Li2Te2O5,10.55374526977539,2.44945581,3.2521000000000004,icsd-26451
Ba1C6,10.548701286315918,5.58967106,0.0,pf-6927
Er1Ni2B2C1,10.454453468322754,6.50322201,0.0,icsd-56651
Ba1Zr1B2O6,10.453166007995605,1.18226178,4.1173,icsd-95527
Nd2C3,10.371124267578125,5.16620061,0.0,icsd-2446
Ti1B2,10.345087051391602,8.46049915,0.0,icsd-165124
Cs2Ca2Be3F12,10.306199073791504,-1.86781132,7.2156,icsd-15156
Ce2C3,10.27543830871582,8.34326891,0.0,icsd-617322
Ba3Tb1B9O18,10.267770767211914,5.5947389,5.1618,pf-26735
Sr3B2O6,10.25367546081543,1.35293907,4.398000000000001,icsd-93395
Tm2Fe1C4,10.190454483032227,4.9377911,0.0,icsd-40758
Li1Eu3O4,10.143815040588379,3.71048772,0.0,icsd-15111
Y6C2I7,10.089460372924805,4.70644935,0.0,icsd-68015
Mn3B2O6,10.04559326171875,3.41515292,2.0333,icsd-34561
Li4Zr1F8,10.035170555114746,-1.91507499,5.9638,icsd-80398
Li3V1F6,10.021422386169434,-0.25754429,2.4336,icsd-100300
Cs2Ca1V2O7,10.010817527770996,-0.15232508,3.4021,icsd-246369
Li1Sm6B3O14,9.908224105834961,1.71614544,4.510800000000001,pf-13554
Pr2Mo2C3,9.888446807861328,6.03666041,0.0,icsd-414083
Y1C1I1,9.796807289123535,4.25588546,0.0,icsd-153862
Ca1Cu1F4,9.741429328918457,0.80430605,0.7392000000000001,icsd-9928
Ba3Li1Ru2O9,9.71379280090332,3.04036996,0.0,icsd-281126
Ti2Ge1C1,9.687819480895996,7.52217233,0.0,icsd-42921
