formula,predicted_Tc,efermi,band_gap
H13C2Cl2O8F1,72.19641876220703,-2.44695932,4.8344000000000005
Na3Cd1P1C1O7,71.99535369873047,0.95422185,3.1961
Na10Ca4Mg4Si1S11O48,71.8172607421875,1.62708182,3.9102
Na2Ca4Zr1Nb1Si4O16F2,71.73313903808594,5.44041131,0.6702000000000004
Na6Ca6Ti2Si1S11O48,71.63194274902344,0.88169213,1.5087000000000002
H6C1S1Br1N3,71.56199645996094,-0.15702871,3.4555
Na5Ca7Zr2Ti2Si8O30F6,71.51829528808594,4.69699446,0.0039999999999995
V1H11C3Cl2O4,71.49711608886719,0.01932088,2.5048
Ag1H6C1S1N3,71.31696319580078,-1.04307738,2.8991
Na3Si2P1O8,71.29668426513672,0.86561681,3.0387
Ca6Si3H2O13,71.17230224609375,1.65929811,4.47
Na8Ca3Ti1Si3S3O24,70.92892456054688,2.12710031,1.5128
Li1Cl1O2,70.90422058105469,0.51144186,2.6926
Ca9Si4O17F1,70.85368347167969,1.25282621,0.7206000000000001
Na4Al1P2H1O9,70.82162475585938,5.88060003,4.4207
H4C1N2O1,70.69300842285156,-1.21860956,5.0712
Al13Si5H18Cl1O38,70.56753540039062,2.6031023,4.268800000000001
Al13Si5H18Cl1O38,70.56753540039062,2.6031023,4.268800000000001
Na6Ca16Ta8Si3S33O144,70.47042846679688,1.62513831,0.6937
La1H40C13N9O19,70.40853881835938,-1.39950924,3.5408
Rb1Be2B3O7,70.24263000488281,-0.09262999,4.5047
Li1Lu2W2Cl2O8,70.19163513183594,1.85995498,2.4105
Na2Cd1Si2O6,70.03313446044922,1.55555024,2.87
Ca1Mg30Si1O32,69.9610595703125,6.67471051,1.8760999999999992
H14C2N8O5,69.95193481445312,1.91275437,2.7816
Zn4B6Se1O12,69.81733703613281,2.52449699,1.8571
Na4C1O4,69.78692626953125,1.28428188,2.1989
Na3Tl1P1C1O7,69.66464233398438,2.45057523,0.0
Na2Ca4Hf4Si1S11O48,69.63270568847656,1.09234997,3.0267
Al1H4Se2O8,69.54183197021484,0.07653374,0.0
K2Zn1Si1O4,69.45069885253906,0.7844337,3.4889
K1Ca4Si8H16O29,69.37619018554688,1.03165222,0.9972
Li1Zn1S1O4F1,69.28390502929688,0.38099106,4.2073
Na3Mn1B1S1O7,69.23704528808594,2.32716728,2.1180000000000003
K1Na3Al12H24S8O56,69.22990417480469,7.45688274,5.8109
Na8Hf1Zn3Si3S3O24,69.19729614257812,2.01641788,3.166300000000001
Li12Cr1Ga11O24,69.14034271240234,2.15632425,1.3461
Li3As1H16S4O8,69.12275695800781,-0.03714212,2.3283
Na2Ni1P1O4F1,69.06047058105469,5.9744828,4.3816
Li1Cd2H1Se2O7,68.8645248413086,0.41580164,3.1466
Ca12Mn8Si7H15O48,68.82347106933594,0.9385728,1.0723
Ca1Al1Si1O4F1,68.81947326660156,3.19509007,4.980499999999999
Ca1Al1Si1O4F1,68.81947326660156,3.19509007,4.980499999999999
Li1Al4Cd2O8,68.81095886230469,7.60703345,0.0
Li1Al4Cd2O8,68.81095886230469,7.60703345,0.0
Na8Be3Si9Cl2O24,68.69447326660156,0.76619483,4.2067000000000005
Na1Li2As1O4,68.53839111328125,0.00401885,3.8891
H6C1N2O3,68.52479553222656,-1.11612655,4.4935
Na6Ca6Hf2Si1S11O48,68.44235229492188,1.136461,3.5737
Nb3H20C5Cl7O5,68.43836212158203,0.43363882,1.1763
Na1Al1As1O4F1,68.38178253173828,1.95330351,3.4772
Na6Zr2Si4O17,68.32781982421875,1.57016283,0.0
Ca12Al11Si3Cl5O32,68.25836181640625,2.24663265,4.3306
Ca12Al11Si3Cl5O32,68.25836181640625,2.24663265,4.3306
Rb2Ge1B4O9,68.10795593261719,0.00921541,3.8449
Na4Sr1Si3O9,68.07115173339844,1.3230175,3.839700000000001
Rb1Na10Al11Si13O48,68.0425033569336,-0.44669188,2.5018
Rb1Na10Al11Si13O48,68.0425033569336,-0.44669188,2.5018
Ag2H12C6N3Cl1,67.80677795410156,-0.9212341,3.4853
Ag1C1S2O6F3,67.77507019042969,2.72554432,3.306
Na1Ca2Lu1Si2O7F2,67.52413177490234,3.21006939,1.2063000000000006
Cs1Ca1C1O3F1,67.49765014648438,0.74963009,4.5255
Na3Be1Al1Si2O8,67.40714263916016,1.48096444,4.6048
Na3Be1Al1Si2O8,67.40714263916016,1.48096444,4.6048
Rb1Cd6C12Cl1O26,67.31674194335938,-0.54177073,0.0
Na5Hf1Sc3Si3S3O24,67.2838134765625,1.74463255,3.7436000000000007
Rb1Cd6C12Br1O26,67.22421264648438,-0.30968977,0.0
K8Li3Mn4O16,67.21896362304688,-0.10215643,0.0286
K1C1Br1N2O4,67.16452026367188,-0.48711224,1.9626
Na3Al2P2O8F3,67.13673400878906,2.24058893,4.8935
Li2Cd1Si1O4,67.10650634765625,0.7488881,2.8338
Li2Cd1Si1O4,67.10650634765625,0.7488881,2.8338
Al12Si12Ag16S5O48,67.1030044555664,1.77934394,0.0
Al12Si12Ag16S5O48,67.1030044555664,1.77934394,0.0
Na5Hf1Al3Si3S3O24,67.06571197509766,2.60558906,3.8273
Na5Hf1Al3Si3S3O24,67.06571197509766,2.60558906,3.8273
Na1Ca8Sm1Ti10Si10O50,67.02100372314453,2.53342372,2.9163
Na2Ti1Zn2Si1O7,67.01210021972656,1.35975103,2.9128
Sr1Al2P2O8F2,66.95538330078125,2.10640423,5.4887
Zn4As3C3N3O13,66.93856811523438,-2.84502124,0.0
Na3Sc1Si2O7,66.91038513183594,1.67631047,3.7748
Na14Ca5Hf3Si6S6O48,66.88919067382812,2.01122361,3.1731
H13C2Cl3O8,66.86412048339844,-1.88081371,4.5239
Na6Ca3Mn1C6O18F2,66.86094665527344,1.13767662,4.3288
Na6Ca4Al4Si1S11O48,66.8578109741211,1.6491624,4.0474
Na6Ca4Al4Si1S11O48,66.8578109741211,1.6491624,4.0474
Na6Ca6Si1Ge2S11O48,66.78109741210938,0.94301352,0.1807999999999999
Li1Ag2N3O6,66.62478637695312,1.91681898,1.7706
Ca10Si5Cl2O20,66.60627746582031,1.53513376,0.5481000000000003
Na2Zn1Si1O4,66.59907531738281,1.00331604,3.1743
Na2Be1Si1O4,66.57811737060547,2.05057822,4.6341
Ca8Mg1Si4Cl2O16,66.55833435058594,4.036324,0.746
Ca2B5H3O11,66.53421020507812,0.84176055,5.5382
Li2Cd1Ge1O4,66.37667083740234,-0.03482247,2.455
H9C3S2N1O3,66.30474853515625,3.52267672,5.4565
Li1In4Hg2O8,66.26818084716797,5.51244791,0.0
Rb1Ca1C1O3F1,66.23202514648438,0.3604701,4.2974
Cs1Na1Si2O5,66.18911743164062,0.93557904,4.4582
Na3Ho1Si2O7,66.18403625488281,0.93890905,3.97
Na8Ca3Si3Sn1S3O24,65.98275756835938,2.19300195,1.4794999999999998
Ca14Al12Zn4O35,65.93733215332031,6.20055639,0.5589000000000004
Na42Ca8Ta16Si33S3O144,65.93231201171875,2.08419992,2.7536000000000005
H6C1N3Cl1O1,65.9184341430664,-0.96286291,5.2019
Ca4Si3B5H5O20,65.83892822265625,2.20500552,5.4639
Ca4Si3B5H5O20,65.83892822265625,2.20500552,5.4639
Ca4Si2O7F2,65.80413818359375,1.46834098,4.5612
Na18Ca20Ta4Si3S33O144,65.64683532714844,1.52909928,1.4934
K1Na2Ni2O4,65.62449645996094,1.43673455,1.0584999999999998
Ca2Si1O4F1,65.60539245605469,1.59868908,0.3509
Cs2Ge1B4O9,65.41128540039062,4.7353922,4.274900000000001
K1Ca7Si3O12F3,65.37124633789062,6.5665787,4.7135
Na6Ca6Zr2Si1S11O48,65.3405990600586,0.97519799,2.8138
Sr1Al7Tl5Si5O24,65.26066589355469,0.49752622,1.7671
Sr1Al7Tl5Si5O24,65.26066589355469,0.49752622,1.7671
Cs1Zn4B3O9,65.25153350830078,0.43159451,2.826
K1Cd6H4C12Cl1O26,65.17742919921875,-0.26113745,2.8157
Na6U1H24C5O27,65.1679916381836,1.89882106,0.3919000000000001
Na3Ca1B5O10,65.13291931152344,0.57233471,4.556699999999999
Na3Cr1B2O6,65.04119873046875,4.46384307,2.4378999999999995
Na5Hf1Ga3Si3S3O24,65.01985168457031,1.77595602,2.9863
Na3Co1C2Cl1O6,64.89615631103516,0.75719582,2.7796000000000003
Na6Mn2B4S1O16,64.78251647949219,1.07691868,1.2253999999999998
Na2Ni1H4Se2O10,64.76455688476562,3.31908683,3.1791
Cs2Si1B4O9,64.62657165527344,0.75660169,4.8121
Cs2Si1B4O9,64.62657165527344,0.75660169,4.8121
Na8Ta1Al3Si5S1O24,64.6064682006836,3.05594155,2.9433
Na8Ta1Al3Si5S1O24,64.6064682006836,3.05594155,2.9433
K1Ca4B3O9,64.54829406738281,2.10899077,4.5893
Na6Ca4Ga4Si1S11O48,64.43632507324219,1.1429457,2.604
U1H25C12N1O8,64.39494323730469,-1.43482945,2.4013
C1I1N2O6F3,64.32301330566406,-1.20947564,3.3351
Be3Cd4Si3Te1O12,64.22150421142578,1.14641514,3.125
Na4Cd3H2C4O14,64.15907287597656,3.33094958,2.6660000000000004
Na1Al1S2O19,64.14822387695312,-2.12450246,0.0
Na18Ca20Nb4Si3S33O144,64.13014221191406,1.44504406,0.5026999999999999
Cs1Be4B3O9,63.93077087402344,0.6731749,4.9398
Na42Ca8Nb16Si33S3O144,63.92458724975586,1.86756579,1.8574
Na3Ni2Sb1O6,63.891178131103516,3.92056119,1.8083
Na5Hf1In3Si3S3O24,63.87261962890625,2.06542842,2.6925000000000003
Na3Co1B2O6,63.7695198059082,2.18776977,0.9759000000000002
H4C1S1N2,63.73127746582031,-0.53016296,3.6175
Ni1H4N2O8,63.59467315673828,-0.59047424,3.2376
Na6Mn2C4S1O16,63.58716583251953,1.28482418,3.8957000000000006
K1Ca5Mg5Al1Si12O36,63.524696350097656,3.24486757,4.8377
K1Ca5Mg5Al1Si12O36,63.524696350097656,3.24486757,4.8377
Na3Li1Ti2Si4H4O16,63.48517990112305,4.48490709,3.5603
