formula,predicted_Tc,efermi,band_gap,database_IDs
Np1B3O8,5.523414611816406,0.55143557,0.5495,icsd-174504
Ca1Cr1F5,5.521671295166016,-1.31530813,2.7248,icsd-10286
Ni3B7I1O13,5.520284652709961,3.59314004,2.370000000000001,icsd-27946
Sr1Ni1F6,5.454673767089844,-1.22624429,1.7074,icsd-30114
Sr1Ca1Ge1,5.383594512939453,2.93670991,0.4356,icsd-172006
Ca1Mn1Ge1O4,5.354623317718506,2.77934161,1.7912999999999997,pf-31872
Li10Zn4O9,5.352176666259766,0.31932731,2.329,icsd-68494
Li1In1I4O12,5.328781604766846,2.41278701,2.6987,icsd-422056
Li3Ni1F6,5.263981819152832,-2.25901361,2.3599,pf-30988
Ca1Mn1F5,5.102870941162109,-1.00656522,0.995,icsd-69632
Li1Ca1V1F6,5.050323486328125,0.00859792,2.6309,pf-24279
Li1Fe2F6,5.019867897033691,0.28057056,1.7058,icsd-202705
Mn2B1O4,4.824855804443359,3.61528101,0.5381,icsd-252607
Ba1Ca1Sn1,4.807652473449707,3.29969359,0.2437,icsd-58641
Ca1Te1O4,4.804605007171631,2.51427046,2.2712,icsd-8097
Sr1Li1V1F6,4.698372840881348,2.24920353,2.6226,pf-34770
Sr1Li1Bi1,4.66789436340332,3.40067297,0.5558000000000001,icsd-58800
Ca3Zn3Te2O12,4.654131889343262,2.4927827,2.1295999999999995,icsd-67045
Cs1Pr3C1I6,4.6456193923950195,3.51581103,0.7084000000000001,icsd-300266
Cs1Li2Gd4B5O15,4.627103805541992,1.30401681,2.5666,icsd-240894
Li2Cr1O4,4.598493576049805,-1.55661831,2.6021,icsd-1972
Li2Ni1O3,4.557239055633545,2.36381262,1.1037,icsd-153094
V1Fe2B1O5,4.552645683288574,3.46997186,1.6459999999999997,pf-7162
Ba1Li1Cr1F6,4.545263290405273,0.94211,2.1413,icsd-6042
Mn3B2O6,4.4285502433776855,3.41515292,2.0333,icsd-34561
Ca1Mn2O4,4.4224653244018555,3.26728442,2.0103,icsd-280514
Fe2Ni1O4,4.376151084899902,3.57517255,1.3615999999999997,icsd-182237
Y5C2I9,4.363792896270752,2.91451383,1.4454000000000002,icsd-402128
Eu3B2O6,4.347344875335693,5.11797073,0.4588000000000001,icsd-86479
Li1V3Te2O12,4.303528785705566,2.06195658,1.8778,icsd-249325
Zr6C1I14,4.300682067871094,2.80136651,0.7934999999999999,icsd-60915
Sr1Ca1Sn1,4.248743057250977,3.5051883,0.2881999999999998,icsd-172007
Cs2Zr7C1I18,4.2338361740112305,3.88890435,0.1184000000000002,icsd-72606
Li2Ru1F6,4.207937240600586,0.34432287,0.0398,icsd-165210
Li3Gd1B2O6,4.203872203826904,3.68852379,2.9198,icsd-94356
Cs2Li1Mn1O4,4.135747909545898,1.01353152,1.5915,icsd-72361
Nd1Ni1B5O10,4.125782012939453,3.47522719,1.4747000000000003,icsd-79947
Y4C7,4.1198577880859375,4.2315865,0.6128,icsd-658826
Cs1Er6C1I12,4.089109420776367,3.79371137,0.2199999999999997,icsd-72761
Li2Mn1Ge1O4,4.048632621765137,1.53247792,2.0368,pf-4548
Ba2Ni1Mo1O6,4.0398664474487305,3.09202529,2.3514,icsd-98192
Fe1B2,3.9999866485595703,8.29298741,0.5153999999999996,icsd-425310
Ca11Sn3C8,3.9728684425354004,3.89929658,0.6589000000000005,icsd-248857
Ca1Ge2O5,3.962127208709717,3.38726056,2.6966,icsd-156194
Li2Fe2Mo3O12,3.9621059894561768,0.34224335,2.6564,icsd-201938
Ca4Pd1O6,3.9124042987823486,2.92705301,1.8227,icsd-88134
Ni1Xe4F28,3.9103355407714844,-4.6177837,2.1312999999999995,icsd-65830
Dy7C2I12O1,3.90286922454834,3.71480361,0.0270999999999999,icsd-421642
Ba2Ca1Mn1V2F14,3.8917107582092285,2.04363329,1.2483,pf-7759
Fe1B1O3,3.85347056388855,2.14937788,1.4815999999999998,icsd-34474
Ba1Nd2Ni1O5,3.8029515743255615,3.48386084,1.9985000000000004,icsd-72626
Eu2B2O5,3.7621679306030273,4.8583227,0.0819,pf-5007
Sr2Ni1Mo1O6,3.7062995433807373,3.43705053,2.0734000000000004,icsd-157021
In1B1O3,3.6762969493865967,3.9195389,2.6556,icsd-75254
Y2C1I2,3.6367099285125732,3.55033907,0.4950999999999999,pf-38520
Ba1Pr2Ni1O5,3.623581886291504,3.38221086,2.1674,icsd-75035
Y6Ni1I10,3.6026978492736816,3.8536877,0.4936999999999996,icsd-248711
Li1Mn1Fe1F6,3.5848898887634277,-0.43321394,2.4344,icsd-35232
Ni5Sn1B2O10,3.5819146633148193,7.14857693,2.5999,icsd-63395
Ca2Ge1,3.548584461212158,2.24776906,0.5756000000000001,icsd-191747
Cr1Ni2B1O5,3.5329530239105225,4.0602231,2.7366,pf-38640
Ni2Ge1O4,3.5239381790161133,4.01941694,2.1356,icsd-69508
B6O1,3.512744188308716,5.28513093,1.8564,icsd-71065
Fe3B1O5,3.50942063331604,3.50816274,1.0194999999999994,icsd-31214
Er4C7,3.486599922180176,4.02005353,0.3912000000000004,pf-31263
Gd1Be2B5O11,3.4705984592437744,1.30534746,0.3102,icsd-194045
Li1Nd4Ge4,3.4208128452301025,3.40034216,0.0556999999999998,icsd-423642
Fe1Ni2B1O5,3.4073073863983154,4.01018031,1.6665,icsd-164829
Ca1Pd1F6,3.39784574508667,-2.25078207,2.1062,icsd-26164
Li1Ca1Bi1,3.3819026947021484,3.84433057,0.5790000000000002,icsd-428108
Cs3Ni1F7,3.3490517139434814,-0.83353556,0.8734999999999999,icsd-9600
Li2Sn1Te1O6,3.3465962409973145,3.64841144,2.0439000000000003,icsd-40265
Ba2Ca1Mo1O6,3.3456146717071533,2.36964069,2.258,icsd-45317
Gd2B1O3F3,3.331221580505371,4.05402227,2.7369,icsd-95836
Li2Te1,3.3249762058258057,2.26399067,2.4914,icsd-60434
Be2C1,3.306896448135376,6.31837236,1.1636999999999995,icsd-616184
Eu1C1O3,3.2819042205810547,4.92373906,0.4292999999999995,icsd-109074
Li1Sm2Ru1O6,3.262775182723999,3.73743224,0.3999000000000001,pf-861
Ba2Ca1Te1O6,3.2514896392822266,3.0895686,2.9976,icsd-246112
Ba2Ca1Pd3O6,3.1459598541259766,2.58720544,1.4866,icsd-73082
Li1Nd2Ru1O6,3.1078433990478516,3.86939738,0.4246000000000003,pf-32283
Li2Pd1O2,3.085394859313965,2.73987329,1.1973000000000005,icsd-19007
Gd2C1F2,3.033085346221924,3.41776798,0.7328000000000001,icsd-33912
Dy1B4Mo1,2.9927139282226562,6.87944532,0.2812999999999999,icsd-613645
Er1B4Mo1,2.9444804191589355,6.48256778,0.5880999999999998,icsd-613775
Ca1V2O6,2.9330649375915527,-0.63153672,2.8812,icsd-21064
Cs2Ni1F6,2.9114251136779785,-2.75247154,2.4357,icsd-44789
Ca1Sn1O3,2.9023375511169434,4.10175427,2.3301,icsd-151594
Ba1V2Ni2O8,2.89349365234375,2.93330096,0.0161999999999999,icsd-96086
Nd2Mn1Ni1O6,2.887899398803711,3.53485257,1.2030000000000003,icsd-186902
Mn1Sn1B2O6,2.8715901374816895,3.71530891,2.5711,icsd-79165
Er6Ni1I10,2.860980987548828,4.04040921,0.6135000000000002,icsd-424429
Tm4C7,2.8509597778320312,4.01823032,0.3698000000000006,pf-41724
Sr2Ca1Mo1O6,2.8135104179382324,1.94062282,2.6243,icsd-380254
Li2Mn1O3,2.811142921447754,2.45687681,1.3683999999999998,icsd-187500
Ca2Mn3O8,2.799043655395508,2.12352509,1.2523,icsd-24847
Y1B4Mo1,2.7616686820983887,6.86930065,0.2774000000000001,icsd-20081
Eu1B2O4,2.7568020820617676,5.0099785,0.2902999999999993,icsd-30546
Cs3B1O3,2.695692539215088,1.97458868,2.4689000000000005,icsd-423334
Ca3Ge1O1,2.690638542175293,4.45001187,0.1401999999999992,icsd-413383
Cs1Er10C4I18,2.6804213523864746,3.60117355,0.2905000000000002,icsd-72762
V1B1O3,2.678563117980957,3.48741764,1.8747,icsd-45060
Ni2Te3O8,2.673220157623291,5.25602856,0.5076,icsd-50703
Li1Pr4Ge4,2.575455665588379,3.42574161,0.0551000000000003,icsd-425282
Ca2Zr5Ti2O16,2.5337977409362793,2.63372289,2.9678,icsd-85193
Pr2Mn1Ni1O6,2.5259952545166016,5.28102547,1.6564,pf-18872
Gd3C1I3,2.5157904624938965,5.1373298,0.0610999999999997,icsd-73199
Dy2Mn1Ni1O6,2.4130210876464844,3.77989048,0.5364999999999998,icsd-252028
Ba2Li1Ge3,2.4092087745666504,2.52977869,0.0969999999999999,icsd-404705
Li1Dy1Sn1,2.350599765777588,4.45235774,0.0044000000000004,icsd-603144
Cs1B6I6,2.316230297088623,1.14412692,1.6875999999999998,icsd-151977
Tb2Mn1Ni1O6,2.3103742599487305,3.45469143,1.1852999999999998,icsd-163804
Ca2Fe2O5,2.1976494789123535,3.65982951,0.8630999999999998,icsd-161509
Ca1B2C2,2.121509075164795,4.51458841,0.4750999999999994,icsd-88019
Ba1Ni1O3,2.097884178161621,2.79794293,1.4691999999999998,icsd-30661
Gd1B3O6,2.0656681060791016,2.36303368,2.693,icsd-417644
Ni1Rh1F6,2.027985095977783,-0.45472809,0.0158999999999999,icsd-42164
Ba5Tm8Ni4O21,2.008915424346924,2.88709065,2.3991,pf-6824
Y1Cr1B4,2.0039100646972656,6.56229408,0.1589,icsd-16171
Dy1Cr1B4,1.9800834655761719,6.20928539,0.3833000000000002,icsd-658658
Li1Pr1Sn1,1.9765596389770508,4.14458707,0.0050000000000007,icsd-603176
V2Ni1O6,1.8797554969787598,3.70875496,1.5548000000000002,icsd-33881
Sr19Li44,1.8397879600524902,0.69184211,0.0227999999999999,icsd-421227
Ba5Er8Ni4O21,1.8348727226257324,2.88152397,2.4221000000000004,pf-35258
B1I3,1.806161880493164,-0.6082331,2.6901,icsd-173375
Dy5C2I9,1.8003559112548828,2.79348921,1.4272,icsd-416953
Ca1Te1,1.7741851806640625,3.67271973,1.5535,icsd-619616
Ba2Ce1C3O9F1,1.76945161819458,4.69284296,0.0766,icsd-85572
Ca2V2O7,1.7643299102783203,0.86006882,2.9553000000000003,icsd-20609
Li1Mn2Te1O6,1.7409577369689941,4.69003262,1.0634000000000006,pf-28958
Li1Ru1F6,1.73775053024292,-1.80409823,0.9999,icsd-165203
Li1Pr2Ru1O6,1.702103614807129,3.69885047,0.3014999999999999,pf-21842
